timestamp,packet_id,predicted_label,actual_label,probability,is_alert
2025-04-10 01:34:34.427,0,0,0,1.0000,0
2025-04-10 01:34:35.073,1,0,0,1.0000,0
2025-04-10 01:34:35.158,2,4,4,1.0000,1
2025-04-10 01:34:35.231,3,0,0,1.0000,0
2025-04-10 01:34:35.285,4,0,0,1.0000,0
2025-04-10 01:34:35.339,5,0,0,1.0000,0
2025-04-10 01:34:35.394,6,0,0,1.0000,0
2025-04-10 01:34:35.425,7,0,0,1.0000,0
2025-04-10 01:34:35.471,8,0,0,0.9849,0
2025-04-10 01:34:35.559,9,0,0,1.0000,0
2025-04-10 01:34:35.589,10,4,4,1.0000,1
2025-04-10 01:34:35.618,11,0,0,0.9900,0
2025-04-10 01:34:35.647,12,0,0,1.0000,0
2025-04-10 01:34:35.687,13,2,2,1.0000,1
2025-04-10 01:34:35.718,14,0,0,1.0000,0
2025-04-10 01:34:35.748,15,0,0,1.0000,0
2025-04-10 01:34:35.777,16,0,0,1.0000,0
2025-04-10 01:34:35.807,17,0,0,1.0000,0
2025-04-10 01:34:35.837,18,2,2,1.0000,1
2025-04-10 01:34:35.877,19,0,0,1.0000,0
2025-04-10 01:34:35.930,20,0,0,1.0000,0
2025-04-10 01:34:35.961,21,0,0,1.0000,0
2025-04-10 01:34:36.004,22,0,0,1.0000,0
2025-04-10 01:34:36.034,23,0,0,1.0000,0
2025-04-10 01:34:36.077,24,0,0,1.0000,0
2025-04-10 01:34:36.203,25,0,0,1.0000,0
2025-04-10 01:34:36.315,26,4,4,1.0000,1
2025-04-10 01:34:36.393,27,0,0,1.0000,0
2025-04-10 01:34:36.462,28,2,2,1.0000,1
2025-04-10 01:34:36.533,29,0,0,1.0000,0
2025-04-10 01:34:36.612,30,0,0,1.0000,0
2025-04-10 01:34:36.671,31,0,0,1.0000,0
2025-04-10 01:34:36.712,32,0,0,1.0000,0
2025-04-10 01:34:36.754,33,0,0,1.0000,0
2025-04-10 01:34:36.785,34,0,0,1.0000,0
2025-04-10 01:34:36.817,35,0,0,1.0000,0
2025-04-10 01:34:36.846,36,0,0,1.0000,0
2025-04-10 01:34:36.901,37,4,4,0.9900,1
2025-04-10 01:34:36.944,38,0,0,1.0000,0
2025-04-10 01:34:36.986,39,0,0,1.0000,0
2025-04-10 01:34:37.050,40,0,0,1.0000,0
2025-04-10 01:34:37.120,41,0,0,1.0000,0
2025-04-10 01:34:37.212,42,2,2,1.0000,1
2025-04-10 01:34:37.280,43,10,10,1.0000,1
2025-04-10 01:34:37.335,44,0,0,1.0000,0
2025-04-10 01:34:37.388,45,0,0,1.0000,0
2025-04-10 01:34:37.419,46,0,0,1.0000,0
2025-04-10 01:34:37.490,47,0,0,1.0000,0
2025-04-10 01:34:37.527,48,0,0,1.0000,0
2025-04-10 01:34:37.591,49,0,0,1.0000,0
2025-04-10 01:34:37.644,50,0,0,1.0000,0
2025-04-10 01:34:37.790,51,0,0,1.0000,0
2025-04-10 01:34:37.863,52,6,6,1.0000,1
2025-04-10 01:34:37.937,53,0,0,1.0000,0
2025-04-10 01:34:37.980,54,0,0,1.0000,0
2025-04-10 01:34:38.010,55,0,0,1.0000,0
2025-04-10 01:34:38.050,56,0,0,1.0000,0
