,precision,recall,f1-score,support
0,0.999862761781901,0.5611287887790086,0.7188402528665967,454434.0
1,0.0062919777283962945,0.6461538461538462,0.012462599836799287,390.0
2,0.44577409444881044,0.975569714263378,0.611933162520994,25583.0
3,0.2583448275862069,0.9030858244937319,0.4017589017589018,2074.0
4,0.7115722502727996,0.827647033515467,0.7652329570881607,46486.0
5,0.2608695652173913,0.8283582089552238,0.3967828418230563,1072.0
6,0.11450916306758492,0.8363171355498721,0.20143737166324435,1173.0
7,0.03414191988950276,0.49069478908188585,0.06384180790960452,1612.0
8,0.09090909090909091,0.5,0.15384615384615385,2.0
9,0.0008278145695364238,1.0,0.0016542597187758478,5.0
10,0.7635694796335997,0.9883951940966857,0.8615566459132203,31711.0
11,0.046375309035808276,0.9914748508098892,0.0886061483372062,1173.0
12,0.005863192182410423,0.02922077922077922,0.009766684753119913,308.0
13,6.312334301224592e-05,0.2857142857142857,0.00012621880029030323,7.0
14,0.008015122873345935,0.8907563025210085,0.015887290167865706,119.0
accuracy,0.628530651824873,0.628530651824873,0.628530651824873,0.628530651824873
macro avg,0.24979931283595985,0.7169677835436709,0.2869155531335993,566149.0
weighted avg,0.9257848832744294,0.628530651824873,0.7187609424536814,566149.0
